procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 2079372 142304   9868 184976    1    1     1     8    5    3  1  1 99  0  0
 0  0 2079272 142272   9868 185084   96    0    96     0 1872  893  1  0 99  0  0
 0  0 2097056 154248   8428 161048 37300 46064 37300 46064 8292 8707 21 15 36 27  1
 0  0 2083884 139828   8444 161064 16204    0 16224     0 4211 4422  5  6 71 17  1
 1  2 2073528 127468   8464 161160 11936    0 11980     0 3787 3765  5  3 68 23  1
 0  0 2058000 109272   8464 161164 18320    0 18320     0 4377 4928  7  5 57 31  1
 0  0 2050196 116244   7632 154200 14640 5808 14640  5840 3155 3511  7  3 74 14  1
 0  0 2040700 123132   6916 148324 14440 3764 14440  3764 3181 3523  7  4 74 15  1
 0  0 2027516 109748   6916 148232 13980    0 13980     0 2924 3315  7  4 70 19  1
 0  0 2019160 119772   6264 139848 13632 4856 13632  4856 3787 3510  5  9 53 32  0
 0  0 2014880 121256   5724 139056 14584 8940 14584  8940 3528 3704 14  5 61 19  1
 0  0 2001684 106632   5732 139116 14692    0 14692    32 3162 3758  7  3 75 15  1
 0  0 1995420 120672   5600 134548 15104 6816 15104 13124 3958 3851  6  3 75 16  1
 0  0 1982008 106072   5600 134556 14296    0 14296     0 2823 3565  6  4 74 14  0
 0  0 2005352 110308   5556 131228 15044 36788 15272 36808 3937 4132 18  9 48 24  1
 0  2 2010284 124452   5548 129848 11420 13248 11436 13248 2920 3604 11  4 63 22  1
 0  0 1998992 124020   5544 128796 24544 14352 24544 14452 5905 7360 15  7 30 47  1
 0  0 1996160 120700   5544 128752 3256    0  3256     0 1968 2437  6  2 88  4  1
 1  0 1994792 118996   5544 128920 1608    0  1608     0 1491 2320  7  1 88  4  0
 0  0 1992420 115864   5544 128940 2972    0  2972     0 1848 2775 13  4 78  6  1
 0  0 1990968 112796   5628 129276 1516    0  1952     0 2078 2411  9  2 84  4  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 1990840 112796   5628 129284  156    0   156     0 1549 1826  6  2 92  1  0
 0  0 1990804 112860   5636 129384   52    0    52    24 1071  923  0  0 98  0  0
 0  0 1990600 111380   5636 130304  204    0  1008     0 1842 3468 13  3 83  1  0
 0  0 1990508 111096   5636 130324  132    0   132     0 1569 2184  5  2 93  1  1
 0  0 1990396 111268   5636 130584  108    0   108     0 1474 2058  5  3 92  0  1
 1  0 1990372 109264   5636 132788   16    0    16     0 1157  916  3  0 96  0  1
 0  0 1990036 108324   5644 133164  356    0   436    28 1732 2823  9  3 87  1  1
